id,nombre,id_provincia,localidad,codigo_postal,id_prov_mstr
458,Buenos Aires,COLONIA VELEZ,4742,2933,6
459,Buenos Aires,SPURR,2759,8103,6
460,Buenos Aires,SPERONI,3589,7163,6
461,Buenos Aires,SPERATTI,3798,1741,6
462,Buenos Aires,SOURIGUES,16595,1885,6
463,Buenos Aires,SOLIS,4665,2764,6
464,Buenos Aires,SOLANET,2674,7151,6
465,Buenos Aires,SOLALE,3620,6064,6
466,Buenos Aires,SOL DE MAYO,4154,7243,6
467,Buenos Aires,SOL DE MAYO,4588,2709,6
468,Buenos Aires,SMITH,2976,6531,6
469,Buenos Aires,SIERRAS BAYAS,4259,7403,6
470,Buenos Aires,SIERRA DE LOS PADRES,4508,7601,6
471,Buenos Aires,SIERRA DE LA VENTANA,4849,8168,6
472,Buenos Aires,SIERRA CHICA,4258,7401,6
473,Buenos Aires,SIEMPRE VERDE,4083,7609,6
474,Buenos Aires,SHAW,2708,7316,6
475,Buenos Aires,SEVIGNE,3218,7101,6
476,Buenos Aires,SEMINARIO PIO XII,4117,6600,6
477,Buenos Aires,SEGUROLA,3949,7119,6
478,Buenos Aires,SAUZALES,3808,6030,6
479,Buenos Aires,SAUCE GRANDE,18309,8150,6
480,Buenos Aires,SAUCE CORTO,18272,7540,6
481,Buenos Aires,SAUCE CHICO,2758,8105,6
482,Buenos Aires,SATURNO,3674,6417,6
483,Buenos Aires,SARASA,3115,2721,6
484,Buenos Aires,SARANDI,2461,1872,6
485,Buenos Aires,SANTOS UNZUE,2530,6507,6
486,Buenos Aires,SANTOS LUGARES,16492,1676,6
487,Buenos Aires,SANTO TOMAS CHICO,2975,6538,6
488,Buenos Aires,STEGMANN,3168,7536,6
489,Buenos Aires,SANTO TOMAS,2974,6530,6
490,Buenos Aires,STROEDER,3036,8508,6
491,Buenos Aires,SUIPACHA,4778,6612,6
492,Buenos Aires,TRES ARROYOS,4899,7500,6
493,Buenos Aires,TRES ALGARROBOS,2997,6231,6
494,Buenos Aires,TRENQUE LAUQUEN,4872,6400,6
495,Buenos Aires,TORTUGUITAS,16474,1667,6
496,Buenos Aires,TORRES,3904,6703,6
497,Buenos Aires,TORO,4400,1635,6
498,Buenos Aires,TORNQUIST,4850,8160,6
499,Buenos Aires,TORDILLO,4836,7101,6
500,Buenos Aires,TOMAS JOFRE,4118,6601,6
501,Buenos Aires,TOLDOS VIEJOS,4635,7267,6
502,Buenos Aires,TODD,2818,2754,6
503,Buenos Aires,TIO DOMINGO,3590,7163,6
504,Buenos Aires,TIMOTE,2996,6457,6
505,Buenos Aires,TIGRE,16539,1648,6
506,Buenos Aires,THAMES,2573,6343,6
507,Buenos Aires,TERMAS LOS GAUCHOS,3037,8504,6
508,Buenos Aires,TENIENTE ORIGONE,4974,8144,6
509,Buenos Aires,TENIENTE CORONEL MIÃ‘ANA,4260,7401,6
510,Buenos Aires,TEMPERLEY,16451,1834,6
511,Buenos Aires,TEJO GALETA,3169,7530,6
512,Buenos Aires,TEDIN URIBURU,2842,7021,6
513,Buenos Aires,TATAY,3007,6721,6
514,Buenos Aires,TAPIALES,16511,1770,6
515,Buenos Aires,TAPALQUE,4822,7303,6
516,Buenos Aires,TANDIL,16359,7000,6
517,Buenos Aires,TAMBO NUEVO,4357,2700,6
518,Buenos Aires,TAMANGUEYU,3859,7633,6
519,Buenos Aires,TACUARI,4653,2743,6
520,Buenos Aires,SUNDBLAD,4568,6401,6
521,Buenos Aires,SUCRE,3903,6708,6
522,Buenos Aires,TRES CUERVOS,4443,8183,6
523,Buenos Aires,SANTO DOMINGO,3948,7119,6
524,Buenos Aires,SANTIAGO GARBARINI,2491,6660,6
525,Buenos Aires,SANSINENA,4567,6233,6
526,Buenos Aires,SAN VICENTE,4772,1865,6
527,Buenos Aires,SAN VALENTIN,4081,7613,6
528,Buenos Aires,SAN SIMON,2800,7621,6
529,Buenos Aires,SAN SEVERO,4691,7521,6
530,Buenos Aires,SAN SEBASTIAN,3107,6623,6
531,Buenos Aires,SAN ROQUE,4928,6017,6
532,Buenos Aires,SAN ROMAN,3154,8154,6
533,Buenos Aires,SAN RAMON DE ANCHORENA,2707,7311,6
534,Buenos Aires,SAN RAMON,3153,8150,6
535,Buenos Aires,SAN RAMON,4870,6424,6
536,Buenos Aires,SAN RAMON,4354,2754,6
537,Buenos Aires,SAN RAFAEL,18267,7130,6
538,Buenos Aires,SAN QUILCO,3761,7406,6
539,Buenos Aires,SAN PEDRO,4758,2930,6
540,Buenos Aires,SAN PATRICIO,3061,6734,6
541,Buenos Aires,SAN PASCUAL,4802,7007,6
542,Buenos Aires,SAN NICOLAS DE LOS ARROYOS,21075,2900,6
543,Buenos Aires,SAN MIGUEL DEL MORO,3858,7631,6
544,Buenos Aires,SAN MIGUEL DEL MONTE,4720,7220,6
545,Buenos Aires,SAN MIGUEL ARCANGEL,2572,8185,6
546,Buenos Aires,SAN MIGUEL,16525,1663,6
547,Buenos Aires,SAN MAYOL,4898,7519,6
548,Buenos Aires,SAN MAURICIO,4566,6239,6
549,Buenos Aires,SAN MARTIN DE TOURS,4616,8164,6
550,Buenos Aires,SAN MANUEL,3857,7007,6
551,Buenos Aires,SAN LAUREANO,2673,7150,6
552,Buenos Aires,SAN JUSTO,3542,7118,6
553,Buenos Aires,SAN JUSTO,16509,1754,6
554,Buenos Aires,SANTA ALICIA,3874,7243,6
555,Buenos Aires,SANTIAGO LARRE,4601,7245,6
556,Buenos Aires,SANTA CATALINA,4692,7503,6
557,Buenos Aires,SANTA CECILIA NORTE,4292,6472,6
558,Buenos Aires,SANTA TRINIDAD,3184,7541,6
559,Buenos Aires,SANTA TERESITA PERGAMINO,4356,2701,6
560,Buenos Aires,SANTA TERESITA,3564,7107,6
561,Buenos Aires,SANTA TERESA,3563,7163,6
