id,nombre,id_provincia,localidad,codigo_postal,id_prov_mstr
5523,Corrientes,ISLA IBATE,9958,3412,18
5524,Corrientes,IBIRA PITA,19760,3470,18
5525,Corrientes,IBIRAY,27714,3414,18
5526,Corrientes,IBIRITANGAY,19501,3302,18
5527,Corrientes,IFRAN,9938,3453,18
5528,Corrientes,IGUATE PORA,17476,3423,18
5529,Corrientes,INDEPENDENCIA,10073,3222,18
5530,Corrientes,INFANTE,10200,3483,18
5531,Corrientes,INGA,9813,3196,18
5532,Corrientes,INVERNADA,20446,3454,18
5533,Corrientes,IPACARAPA,20134,3485,18
5534,Corrientes,ISABEL VICTORIA,9939,3453,18
5535,Corrientes,ISLA ALTA,20149,3448,18
5536,Corrientes,ISLA ALTA,9689,3449,18
5537,Corrientes,ISLA APIPE CHICO,9974,3302,18
5538,Corrientes,ISLA GRANDE,10279,3342,18
5539,Corrientes,ISLA IBATAY,19999,3401,18
5540,Corrientes,INGENIO PRIMER CORRENTINO,19998,3401,18
5541,Corrientes,ISLA SAN MATEO,20207,3340,18
5542,Corrientes,GUAY GRANDE,20206,3340,18
5543,Corrientes,IBAVIYU,9755,3466,18
5544,Corrientes,GARRIDO CUE,17344,3416,18
5545,Corrientes,GARRUCHOS,10275,3351,18
5546,Corrientes,ISLA SOLA,19361,3450,18
5547,Corrientes,GDOR JUAN EUSEBIO TORRENT,20038,3403,18
5548,Corrientes,GENERAL PAZ,19259,3407,18
5549,Corrientes,GOBERNADOR JUAN E MARTINEZ,9996,3445,18
5550,Corrientes,GOBERNADOR RUIZ,20205,3340,18
5551,Corrientes,GOBERNADOR VIRASORO,10276,3342,18
5552,Corrientes,IBERA,10278,3342,18
5553,Corrientes,GOMEZ CUE,10277,3340,18
5554,Corrientes,GRANJA AMELIA,19358,3450,18
5555,Corrientes,GUAVIRAVI,10188,3232,18
5556,Corrientes,GUAYCURU,17735,3465,18
5557,Corrientes,GUAYQUIRARO,9812,3194,18
5558,Corrientes,GUAYU,9957,3412,18
5559,Corrientes,GUAZU CORA,19938,3420,18
5560,Corrientes,HERLITZKA,10181,3403,18
5561,Corrientes,IBAHAY,9908,3480,18
5562,Corrientes,GOYA,9937,3450,18
5563,Corrientes,ISLA TACUARA,17263,3481,18
5564,Corrientes,KILOMETRO 151,19262,3405,18
5565,Corrientes,ITA CORA,10037,3470,18
5566,Corrientes,KILOMETRO 204,10112,3232,18
5567,Corrientes,KILOMETRO 235,10113,3234,18
5568,Corrientes,KILOMETRO 261,10040,3476,18
5569,Corrientes,KILOMETRO 268,10114,3230,18
5570,Corrientes,KILOMETRO 287 FCGU,19769,3470,18
5571,Corrientes,KILOMETRO 296,19772,3470,18
5572,Corrientes,KILOMETRO 31,20039,3403,18
5573,Corrientes,KILOMETRO 374,10238,3446,18
5574,Corrientes,KILOMETRO 182,10081,3224,18
5575,Corrientes,KILOMETRO 382,20150,3448,18
5576,Corrientes,KILOMETRO 393,9872,3344,18
5577,Corrientes,KILOMETRO 394,9873,3344,18
5578,Corrientes,KILOMETRO 396,9874,3344,18
5579,Corrientes,KILOMETRO 402,17126,3448,18
5580,Corrientes,KILOMETRO 405,9756,3460,18
5581,Corrientes,KILOMETRO 406,10157,3420,18
5582,Corrientes,GARRIDO,20037,3403,18
5583,Corrientes,KILOMETRO 410,19653,3445,18
5584,Corrientes,KILOMETRO 387,10239,3446,18
5585,Corrientes,KILOMETRO 173,10080,3220,18
5586,Corrientes,KILOMETRO 167,10079,3220,18
5587,Corrientes,KILOMETRO 148,10077,3405,18
5588,Corrientes,ITA CUA,20210,3340,18
5589,Corrientes,ITA CURUBI,19363,3450,18
5590,Corrientes,ITA IBATE,9909,3480,18
5591,Corrientes,ITA PASO,27568,3483,18
5592,Corrientes,ITA PUCU,10038,3470,18
5593,Corrientes,ITATI,9959,3414,18
5594,Corrientes,ITATI RINCON,10039,3470,18
5595,Corrientes,ITUZAINGO,9975,3302,18
5596,Corrientes,JARDIN FLORIDO,19940,3420,18
5597,Corrientes,JESUS MARIA,9814,3196,18
5598,Corrientes,JOSE RAFAEL GOMEZ,10269,3342,18
5599,Corrientes,JUAN DIAZ,27712,3449,18
5600,Corrientes,JUAN PUJOL,10074,3222,18
5601,Corrientes,JUAN RAMON VIDAL,20000,3401,18
5602,Corrientes,JUSTINO SOLARI,19764,3476,18
5603,Corrientes,KILOMETRO 104,10075,3226,18
5604,Corrientes,KILOMETRO 120,19820,3222,18
5605,Corrientes,KILOMETRO 13,17347,3401,18
5606,Corrientes,KILOMETRO 134,10076,3222,18
5607,Corrientes,ISOQUI,27709,3346,18
5608,Corrientes,GARCITAS,19498,3302,18
5609,Corrientes,ESTANCIA LA CALERA,19754,3470,18
5610,Corrientes,GALARZA CUE,10274,3340,18
5611,Corrientes,ESTACION LIBERTAD,10071,3224,18
5612,Corrientes,ESTACION SALADAS,10156,3428,18
5613,Corrientes,ESTANCIA AGUACEROS,19746,3470,18
5614,Corrientes,ESTANCIA BUENA VISTA,20197,3340,18
5615,Corrientes,ESTANCIA CAFFERATTA,19039,3196,18
5616,Corrientes,ESTANCIA CASURINA,20198,3340,18
5617,Corrientes,ESTANCIA CERRO VERDE,19750,3470,18
5618,Corrientes,ESTANCIA DEL MEDIO,20146,3474,18
5619,Corrientes,ESTACION AGRONOMICA,17124,3432,18
5620,Corrientes,ESTANCIA DURRUTI,20200,3340,18
5621,Corrientes,ESTANCIA EL CARMEN,20318,3460,18
5622,Corrientes,ESTANCIA EL CHAÃ‘AR,17715,3460,18
5623,Corrientes,ESTANCIA EL OMBU,20201,3340,18
5624,Corrientes,ESTANCIA EL PORVENIR,20112,3231,18
5625,Corrientes,ESTANCIA GONZALEZ CRUZ,19751,3470,18
5626,Corrientes,ESTANCIA ITA CAABO,19753,3470,18
5627,Corrientes,ESTANCIA LA ARBOLEDA,20111,3231,18
5628,Corrientes,ESTANCIA LA CARMENCHA,17239,3481,18
5629,Corrientes,ESTANCIA EL CARMEN,19041,3196,18
5630,Corrientes,ESTABLECIMIENTO LA MERCED,9973,3358,18
5631,Corrientes,EST SOLARI,19799,3476,18
5632,Corrientes,ESQUIVEL CUE,20034,3403,18
5633,Corrientes,KILOMETRO 416,19661,3445,18
5634,Corrientes,EL TIGRE,20253,3463,18
5635,Corrientes,EL TORO PI,17121,3432,18
5636,Corrientes,EL TRANSITO,19356,3454,18
5637,Corrientes,EL VASCO,20031,3403,18
5638,Corrientes,EL YAPU,9807,3197,18
5639,Corrientes,EL YUQUERI,17472,3423,18
5640,Corrientes,EMILIO R CONI,9751,3465,18
5641,Corrientes,EMPEDRADO,9776,3418,18
5642,Corrientes,EMPEDRADO LIMPIO,19490,3302,18
5643,Corrientes,EMPEDRADO LIMPIO,20033,3403,18
5644,Corrientes,EMPEDRADO LIMPIO,18004,3418,18
5645,Corrientes,ENSENADA GRANDE,19995,3412,18
5646,Corrientes,ENSENADITA,19996,3412,18
5647,Corrientes,ESFADAL,9869,3344,18
5648,Corrientes,ESPERANZA,9752,3461,18
5649,Corrientes,ESPINILLAR,9870,3344,18
5650,Corrientes,ESPINILLO,9753,3460,18
5651,Corrientes,ESQUINA,9808,3196,18
5652,Corrientes,ESTANCIA LA CAROLINA,19898,3230,18
5653,Corrientes,GARABATA,20035,3403,18
5654,Corrientes,ESTANCIA LA LOMA,19119,3344,18
5655,Corrientes,ESTANCIA LA MARIA,19755,3470,18
5656,Corrientes,ESTANCIA SOLEDAD,20118,3231,18
5657,Corrientes,ESTANCIA TUNAS,19759,3470,18
5658,Corrientes,ESTE ARGENTINO,10072,3220,18
5659,Corrientes,ESTERO GRANDE,9809,3197,18
5660,Corrientes,ESTERO PIRU,20148,3474,18
5661,Corrientes,ESTERO SAUCE,9810,3197,18
5662,Corrientes,ESTERO YATAY,9811,3197,18
5663,Corrientes,ESTINGANA,20119,3346,18
5664,Corrientes,ESTANCIA SANTA MARIA,17475,3423,18
5665,Corrientes,ESTRELLA,9754,3461,18
5666,Corrientes,FELIPE YOFRE,10036,3472,18
5667,Corrientes,FERNANDEZ,19256,3405,18
5668,Corrientes,FERRET,20255,3463,18
5669,Corrientes,FERRO,19647,3440,18
5670,Corrientes,FLORIDA,19495,3302,18
5671,Corrientes,FLORIDA,9871,3344,18
5672,Corrientes,FRANCISCO GAUNA,19715,3427,18
5673,Corrientes,FRONTERA,19257,3405,18
5674,Corrientes,FANEGAS,19357,3454,18
5675,Corrientes,ESTANCIA SANTA CRUZ,19758,3470,18
5676,Corrientes,ESTANCIA SAN SOLANO,20117,3231,18
5677,Corrientes,ESTANCIA SAN ROBERTO,17474,3423,18
5678,Corrientes,ESTANCIA LAGUNA LIMPIA,19044,3196,18
5679,Corrientes,ESTANCIA LAS MAGNOLIAS,19124,3344,18
5680,Corrientes,ESTANCIA LAS SALINAS,10237,3474,18
5681,Corrientes,ESTANCIA LAS TUNAS,19126,3344,18
5682,Corrientes,ESTANCIA LOMATORA,19896,3230,18
5683,Corrientes,ESTANCIA LOS MILAGROS,20114,3231,18
5684,Corrientes,ESTANCIA LOS PARAISOS,17728,3460,18
5685,Corrientes,ESTANCIA MANDURE,19756,3470,18
5686,Corrientes,ESTANCIA MARQUEZ LUI,19050,3196,18
5687,Corrientes,ESTANCIA MBOTA,17251,3481,18
5688,Corrientes,ESTANCIA POZO CUADRADO,20115,3231,18
5689,Corrientes,ESTANCIA RINCON GRANDE,20254,3463,18
5690,Corrientes,ESTANCIA ROSARIO,19757,3470,18
5691,Corrientes,ESTANCIA SAN ANTONIO,17259,3481,18
5692,Corrientes,ESTANCIA SAN JAVIER,19492,3302,18
5693,Corrientes,ESTANCIA SAN JUAN,20116,3231,18
5694,Corrientes,ESTANCIA SAN JULIO,17730,3460,18
5695,Corrientes,ESTANCIA SAN MATEO,20202,3340,18
5696,Corrientes,ESTANCIA SAN MIGUEL,20203,3340,18
5697,Corrientes,ESTANCIA LA LOMA ALTA,20113,3231,18
5698,Corrientes,KILOMETRO 42,20040,3403,18
5699,Corrientes,LA PASTORIL,19672,3440,18
5700,Corrientes,KILOMETRO 442,10280,3340,18
5701,Corrientes,LAGUNA SIRENA,19676,3445,18
5702,Corrientes,LAGUNA SOTO,17352,3401,18
5703,Corrientes,LAPACHO,10203,3483,18
