id,nombre,id_provincia,localidad,codigo_postal,id_prov_mstr
7861,Entre Rios,PUERTO MARQUEZ,19036,3190,30
7862,Entre Rios,PUERTO BARRILES,18610,2840,30
7863,Entre Rios,PUERTO RUIZ,8899,2840,30
7864,Entre Rios,PUERTO CADENAS,19288,3192,30
7865,Entre Rios,PUERTO CAMPINCHUELO,20389,3261,30
7866,Entre Rios,PUERTO COLORADO,17578,3280,30
7867,Entre Rios,PUERTO CONSTANZA,8979,2846,30
7868,Entre Rios,PUERTO CURTIEMBRE,9135,3113,30
7869,Entre Rios,PUERTO ESQUINA,20531,3155,30
7870,Entre Rios,PUERTO ALMIRON,17574,3281,30
7871,Entre Rios,PUERTO LA ESMERALDA,19294,3190,30
7872,Entre Rios,PUERTO LAS CUEVAS,18342,3101,30
7873,Entre Rios,PUERTO LOPEZ,20535,3101,30
7874,Entre Rios,PUERTO PERAZZO,8962,2846,30
7875,Entre Rios,PUERTO DIAMANTE,18341,3105,30
7876,Entre Rios,PUERTO IBICUY,19023,2846,30
7877,Entre Rios,PUENTE VICTORIA,9250,3153,30
7878,Entre Rios,PUERTO ALGARROBO,19280,3127,30
7879,Entre Rios,PUEBLO MORENO,9134,3122,30
7880,Entre Rios,PUEBLO NUEVO,8960,2820,30
7881,Entre Rios,PUERTO SAN JUAN,8963,2846,30
7882,Entre Rios,PUEBLO NUEVO,20383,3170,30
7883,Entre Rios,PUEBLO PRIMERO,27762,3174,30
7884,Entre Rios,PUENTE CARMONA,19985,3118,30
7885,Entre Rios,PUENTE DE GUALEGUAYCHU,17569,3265,30
7886,Entre Rios,PUENTE DE LAS PENCAS,18336,3101,30
7887,Entre Rios,PUENTE DE LUCAS,20675,3216,30
7888,Entre Rios,PUENTE DEL CHAÃ‘AR,19988,3111,30
7889,Entre Rios,PUENTE Ã‘ANCAY,18906,2823,30
7890,Entre Rios,PUENTE OBISPO,20100,3174,30
7891,Entre Rios,PUENTE PARANACITO,8961,2823,30
7892,Entre Rios,PUENTE PELLEGRINI,18608,2840,30
7893,Entre Rios,PUERTA DE CRESPO,8898,3155,30
7894,Entre Rios,PUERTO ALGARROBO,18424,3206,30
7895,Entre Rios,PUENTE DEL DOLL,18339,3101,30
7896,Entre Rios,RACHEL,20676,3246,30
7897,Entre Rios,PUERTO VIBORAS,19989,3129,30
7898,Entre Rios,RINCON DE MOJONES,9295,3241,30
7899,Entre Rios,RINCON DE NOGOYA,20541,3155,30
7900,Entre Rios,RINCON DEL CINTO,18918,2826,30
7901,Entre Rios,RINCON DEL DOLL,9252,3101,30
7902,Entre Rios,RINCON DEL GATO,8965,2821,30
7903,Entre Rios,RINCON DEL NOGOYA SUR,18620,2840,30
7904,Entre Rios,RINCON LUCAS NORTE,20679,3241,30
7905,Entre Rios,RINCON LUCAS SUD,20680,3241,30
7906,Entre Rios,RIO AGUILA,18648,2805,30
7907,Entre Rios,RIO ALFEREZ NELSON PAGE,18930,2805,30
7908,Entre Rios,RIO CEIBO,18931,2805,30
7909,Entre Rios,RIO PARANA GUAZU,18938,2805,30
7910,Entre Rios,RIO PASAJE AL AGUILA,18878,2805,30
7911,Entre Rios,PUEBLO LIEBIG,8689,3281,30
7912,Entre Rios,RIO SAUCE,18941,2805,30
7913,Entre Rios,RINCON DE LAS GUACHAS,20126,3174,30
7914,Entre Rios,RAMON A PARERA,9138,3118,30
7915,Entre Rios,RAMBLON,9137,3109,30
7916,Entre Rios,RAICES OESTE,9294,3241,30
7917,Entre Rios,PUERTO VIEJO,19991,3100,30
7918,Entre Rios,PUERTO VIEJO,20393,3260,30
7919,Entre Rios,PUERTO VILLARRUEL,19994,3127,30
7920,Entre Rios,PUERTO YERUA,8761,3201,30
7921,Entre Rios,PUERTO YUNQUE,19301,3190,30
7922,Entre Rios,PUNTA DEL MONTE,8900,2840,30
7923,Entre Rios,PUNTAS DE MOREIRA,18159,3181,30
7924,Entre Rios,PUERTO UNZUE,8964,2820,30
7925,Entre Rios,PUNTAS DEL GUALEGUAYCHU,8690,3269,30
7926,Entre Rios,QUEBRACHITOS,20538,3153,30
7927,Entre Rios,QUEBRACHO,19997,3109,30
7928,Entre Rios,QUEBRACHO,18161,3212,30
7929,Entre Rios,QUINTAS AL SUD,9136,3100,30
7930,Entre Rios,QUINTO CUARTEL VICTORIA,9251,3153,30
7931,Entre Rios,QUINTO DISTRITO,8901,2843,30
7932,Entre Rios,RACEDO,8797,3114,30
7933,Entre Rios,PUNTAS DEL PALMAR,8691,3280,30
7934,Entre Rios,PUEBLO GENERAL PAZ,9133,3123,30
7935,Entre Rios,PASO DE LAS PIEDRAS,19972,3118,30
7936,Entre Rios,PUEBLO FERRE,8760,3216,30
7937,Entre Rios,PALAVECINO,8953,2820,30
7938,Entre Rios,PALMAR,8683,3285,30
7939,Entre Rios,PALMAR YATAY,8684,3287,30
7940,Entre Rios,PALO A PIQUE,8872,3191,30
7941,Entre Rios,PARACAO,9128,3100,30
7942,Entre Rios,PARADA YUQUERI,8757,3214,30
7943,Entre Rios,PARAJE GUAYABO,9293,3240,30
7944,Entre Rios,PARAJE PALAVEROI,18853,2805,30
7945,Entre Rios,PARANA,9129,3100,30
7946,Entre Rios,PARANA BRAVO,8954,2805,30
7947,Entre Rios,PARANACITO,8978,2846,30
7948,Entre Rios,PARQUE NACIONAL EL PALMAR,17550,3280,30
7949,Entre Rios,PASAJE TALAVERA,18883,2804,30
7950,Entre Rios,PASO DE LA ARENA,19966,3118,30
