id,nombre,id_provincia,localidad,codigo_postal,id_prov_mstr
17688,Santa Fe,SAN CARLOS NORTE,1324,3009,82
17689,Santa Fe,SAN GENARO,1503,2146,82
17690,Santa Fe,SAN GERONIMO,2217,2136,82
17691,Santa Fe,SAN FRANCISCO DE SANTA FE,1931,2601,82
17692,Santa Fe,SAN FABIAN,1502,2242,82
17693,Santa Fe,SAN EUGENIO,15702,2253,82
17694,Santa Fe,SAN ESTANISLAO,1462,2501,82
17695,Santa Fe,SAN EDUARDO,1930,2615,82
17696,Santa Fe,SAN CRISTOBAL,1408,3070,82
17697,Santa Fe,SAN CARLOS SUD,1325,3013,82
17698,Santa Fe,SAN GENARO NORTE,1504,2147,82
17699,Santa Fe,SAN CARLOS CENTRO,1323,3013,82
17700,Santa Fe,RUNCIMAN,1928,2611,82
17701,Santa Fe,SAN BERNARDO,17209,3061,82
17702,Santa Fe,SAN BERNARDO,2177,3048,82
17703,Santa Fe,SAN ANTONIO DE OBLIGADO,2043,3587,82
17704,Santa Fe,SAN ALBERTO,2042,3565,82
17705,Santa Fe,SAN AGUSTIN,1322,3017,82
17706,Santa Fe,SALTO GRANDE,1461,2142,82
17707,Santa Fe,SALADERO M CABAL,1434,3001,82
17708,Santa Fe,SAGUIER,1268,2301,82
17709,Santa Fe,SA PEREYRA,1321,3011,82
17710,Santa Fe,RUINAS SANTA FE LA VIEJA,1433,3001,82
17711,Santa Fe,RUFINO,1927,6100,82
17712,Santa Fe,RUEDA,1357,2921,82
17713,Santa Fe,SAN GREGORIO,1932,2613,82
17714,Santa Fe,SAN CARLOS,1929,6106,82
17715,Santa Fe,SAN GUILLERMO,1409,2347,82
17716,Santa Fe,SAN PEDRO SUR,1559,3014,82
17717,Santa Fe,SAN GUILLERMO,1554,3020,82
17718,Santa Fe,SAN VICENTE,1270,2447,82
17719,Santa Fe,SAN URBANO,1935,2728,82
17720,Santa Fe,SAN SEBASTIAN,2100,2121,82
17721,Santa Fe,SAN ROQUE,2044,3553,82
17722,Santa Fe,SAN RICARDO,1464,2501,82
17723,Santa Fe,ROSARIO,20949,2000,82
17724,Santa Fe,SAN PEDRO NORTE,1558,3021,82
17725,Santa Fe,SAN PEDRO,1557,3021,82
17726,Santa Fe,SAN MIGUEL,1269,2309,82
17727,Santa Fe,SAN MARTIN NORTE,2180,3045,82
17728,Santa Fe,SAN MARTIN DE TOURS,2139,2255,82
17729,Santa Fe,SAN MARTIN DE LAS ESCOBAS,2254,2449,82
17730,Santa Fe,SAN MARIANO,1328,3011,82
17731,Santa Fe,SAN MARCOS DE VENADO TUERTO,1934,2600,82
17732,Santa Fe,SAN MARCELO,1933,6009,82
17733,Santa Fe,SAN LORENZO,2219,2200,82
17734,Santa Fe,SAN JUSTO,2179,3040,82
17735,Santa Fe,SAN JOSE FRONTERA,2253,2401,82
17736,Santa Fe,SAN JOSE DEL RINCON,1556,3001,82
17737,Santa Fe,SAN JOSE DE LA ESQUINA,1197,2185,82
17738,Santa Fe,SAN JOSE,27663,3016,82
17739,Santa Fe,SAN JORGE,2252,2451,82
17740,Santa Fe,SAN JOAQUIN,1435,3001,82
17741,Santa Fe,SAN JERONIMO SUD,2218,2136,82
17742,Santa Fe,SAN JERONIMO NORTE,1327,3011,82
17743,Santa Fe,SAN JERONIMO DEL SAUCE,1326,3009,82
17744,Santa Fe,SAN JAVIER,2135,3005,82
17745,Santa Fe,SAN GUILLERMO,1163,2512,82
17746,Santa Fe,ROMANG,2134,3555,82
17747,Santa Fe,PUJATO NORTE,1318,3080,82
17748,Santa Fe,RODOLFO ALCORTA,1356,2115,82
17749,Santa Fe,PUERTO ARAGON,1499,2246,82
17750,Santa Fe,PUENTE COLASTINE,1498,2242,82
17751,Santa Fe,PUEBLO TERRAGNI,17481,2300,82
17752,Santa Fe,PUEBLO SAN ANTONIO,1263,2301,82
17753,Santa Fe,PUEBLO NUEVO,1144,2124,82
17754,Santa Fe,PUEBLO MUÃ‘OZ,2091,2119,82
17755,Santa Fe,PUEBLO MARIA JUANA,1260,2445,82
17756,Santa Fe,PUEBLO KIRSTON,2211,2202,82
17757,Santa Fe,PUEBLO GOLONDRINA,18431,3551,82
17758,Santa Fe,PUEBLO ESTHER,2090,2126,82
17759,Santa Fe,PUEBLO CANDIOTI,1547,3000,82
17760,Santa Fe,PUEBLO AREQUITO,1196,2183,82
17761,Santa Fe,PUERTO DE SAN LORENZO,2212,2200,82
17762,Santa Fe,PUEBLO ABC,1317,3080,82
17763,Santa Fe,PROGRESO,1315,3023,82
17764,Santa Fe,PRESIDENTE ROCA,1259,2301,82
17765,Santa Fe,POZO DE LOS INDIOS,2299,3551,82
17766,Santa Fe,POTRERO GUASUNCHO,2035,3589,82
17767,Santa Fe,PORTUGALETE,1405,3071,82
17768,Santa Fe,PORTALIS,1142,3066,82
17769,Santa Fe,POMPEYA,1546,3014,82
17770,Santa Fe,PLAZA CLUCELLAS,1217,2407,82
17771,Santa Fe,PIQUETE,1545,3000,82
17772,Santa Fe,PINO DE SAN LORENZO,2210,2200,82
17773,Santa Fe,PIÃ‘ERO,27664,2119,82
17774,Santa Fe,SAN VICENTE,2045,3580,82
17775,Santa Fe,PROVIDENCIA,1316,3025,82
17776,Santa Fe,PUERTO GABOTO,1500,2208,82
17777,Santa Fe,PUERTO GRAL SAN MARTIN,2213,2202,82
17778,Santa Fe,PUERTO OCAMPO,2036,3580,82
17779,Santa Fe,RIVADAVIA,1320,3081,82
17780,Santa Fe,RIO SALADO,1553,3036,82
17781,Santa Fe,RINCON POTREROS,1551,3001,82
