id,nombre,id_provincia,localidad,codigo_postal,id_prov_mstr
18629,Santiago del Estero,SANTA BARBARA,22134,4208,86
18630,Santiago del Estero,SANTA CATALINA,26745,3064,86
18631,Santiago del Estero,SANTA BRIGIDA,27405,5257,86
18632,Santiago del Estero,SANTA BRIGIDA,26063,4321,86
18633,Santiago del Estero,SANTA BARBARA FERREIRA,14472,4208,86
18634,Santiago del Estero,SANTA ANA,27399,5251,86
18635,Santiago del Estero,SAN CARLOS,26722,3749,86
18636,Santiago del Estero,SANTA ANA,22001,4205,86
18637,Santiago del Estero,SANTA ANA,27480,3760,86
18638,Santiago del Estero,SANTA ANA,26352,2354,86
18639,Santiago del Estero,SANTA CATALINA,26963,4203,86
18640,Santiago del Estero,SANSIOJ,27247,4197,86
18641,Santiago del Estero,SANTA ANA,26117,5250,86
18642,Santiago del Estero,SANTA CRUZ,27248,4197,86
18643,Santiago del Estero,SANTA ELENA,27409,5255,86
18644,Santiago del Estero,SANTA CRUZ,14207,4301,86
18645,Santiago del Estero,SANTA CRUZ,14287,4302,86
18646,Santiago del Estero,SANTA CRUZ,25997,4322,86
18647,Santiago del Estero,SANTA ELENA,26257,3741,86
18648,Santiago del Estero,SANTA ELENA,26184,5250,86
18649,Santiago del Estero,SANDIA HUAJCHU,14471,4208,86
18650,Santiago del Estero,SANTA FELISA,27252,4197,86
18651,Santiago del Estero,SANTA INES,25951,4308,86
18652,Santiago del Estero,SANTA ISABEL,25855,4208,86
18653,Santiago del Estero,SANTA ISABEL,26434,4315,86
18654,Santiago del Estero,SANTA JUSTINA,26927,3740,86
18655,Santiago del Estero,SANTA LUCIA,26847,4233,86
18656,Santiago del Estero,SANTA LUCIA,26031,4319,86
18657,Santiago del Estero,SANTA LUCIA,26233,4353,86
18658,Santiago del Estero,SANTA CRUZ,26752,4301,86
18659,Santiago del Estero,SANAVIRONES,27478,3064,86
18660,Santiago del Estero,SAN VICENTE,27435,4206,86
18661,Santiago del Estero,SAN VICENTE,25962,4322,86
18662,Santiago del Estero,SAN RAMON,21999,4205,86
18663,Santiago del Estero,SAN RAMON,14426,4238,86
18664,Santiago del Estero,SAN RAMON,21029,4301,86
18665,Santiago del Estero,SAN RAMON,14285,4302,86
18666,Santiago del Estero,SAN RAMON,22407,4322,86
18667,Santiago del Estero,SAN RAMON,21085,4328,86
18668,Santiago del Estero,SAN RAMON,14521,4339,86
18669,Santiago del Estero,SAN RAMON,21950,4350,86
18670,Santiago del Estero,SAN RAMON,26231,4353,86
18671,Santiago del Estero,SAN RAMON,26182,5255,86
18672,Santiago del Estero,SAN RAMON QUEBRACHOS,27395,5255,86
18673,Santiago del Estero,SAN CARLOS,27432,4201,86
18674,Santiago del Estero,SAN ROMANO,26845,4233,86
18675,Santiago del Estero,SAN ROQUE,22000,4205,86
18676,Santiago del Estero,SAN ROQUE,14370,4301,86
18677,Santiago del Estero,SAN ROQUE,14286,4302,86
18678,Santiago del Estero,SAN ROQUE,25996,4322,86
18679,Santiago del Estero,SAN ROQUE,21129,4326,86
18680,Santiago del Estero,SAN ROQUE,26232,4353,86
18681,Santiago del Estero,SAN RUFINO,21011,2356,86
18682,Santiago del Estero,SAN SALVADOR,25950,4308,86
18683,Santiago del Estero,SAN SALVADOR,26679,4354,86
18684,Santiago del Estero,SAN SEBASTIAN,26351,2354,86
18685,Santiago del Estero,SAN SEBASTIAN,22537,4206,86
18686,Santiago del Estero,SAN SIMON,21951,4350,86
18687,Santiago del Estero,SANTA MARIA,26774,3712,86
18688,Santiago del Estero,SAN VICENTE,14470,4212,86
18689,Santiago del Estero,SAN VICENTE,14348,4301,86
18690,Santiago del Estero,SAN VICENTE,14371,4301,86
18691,Santiago del Estero,SAN VICENTE,27413,4354,86
18692,Santiago del Estero,SANTA MARIA,27436,4201,86
